Epoch,Layer,Mean,Std,L2
2,layers.layer_0.weight,1.2255836725234985,0.0055671557784080505,2.0398340225219727
2,layers.layer_1.weight,1.684287190437317,0.009065931662917137,11.330360412597656
2,layers.layer_2.weight,1.6867984533309937,0.007724502589553595,11.320842742919922
2,layers.layer_3.weight,1.6560497283935547,0.007578239310532808,11.198707580566406
2,layers.layer_4.weight,1.7388826608657837,0.006877051200717688,11.327306747436523
2,layers.layer_5.weight,1.9478250741958618,0.006110646296292543,11.227755546569824
2,layers.layer_6.weight,1.2361863851547241,0.003955724183470011,2.076321601867676
4,layers.layer_0.weight,1.1389861106872559,0.006227276753634214,2.035691738128662
4,layers.layer_1.weight,1.5612725019454956,0.00846373476088047,11.331731796264648
4,layers.layer_2.weight,1.7298548221588135,0.0070641981437802315,11.320601463317871
4,layers.layer_3.weight,1.7348244190216064,0.006655956618487835,11.19803524017334
4,layers.layer_4.weight,1.7065786123275757,0.006087182555347681,11.325567245483398
4,layers.layer_5.weight,1.7183641195297241,0.005417841020971537,11.225689888000488
4,layers.layer_6.weight,1.084680199623108,0.0036551172379404306,2.070193290710449
6,layers.layer_0.weight,0.6975738406181335,0.006834330502897501,2.031534433364868
6,layers.layer_1.weight,1.0985419750213623,0.00981771107763052,11.333946228027344
6,layers.layer_2.weight,1.2554194927215576,0.009081034921109676,11.320804595947266
6,layers.layer_3.weight,1.3085510730743408,0.008596125990152359,11.197027206420898
6,layers.layer_4.weight,1.1497671604156494,0.007814251817762852,11.323294639587402
6,layers.layer_5.weight,1.0327130556106567,0.007518424652516842,11.223825454711914
6,layers.layer_6.weight,0.6415879726409912,0.0050241886638104916,2.064462184906006
8,layers.layer_0.weight,0.3699793517589569,0.0020981142297387123,2.0277655124664307
8,layers.layer_1.weight,0.617831289768219,0.0029212445951998234,11.335973739624023
8,layers.layer_2.weight,0.7695649266242981,0.0027942273300141096,11.321255683898926
8,layers.layer_3.weight,0.8179765939712524,0.0030367670115083456,11.196260452270508
8,layers.layer_4.weight,0.7872408032417297,0.0025501400232315063,11.321645736694336
8,layers.layer_5.weight,0.7792834639549255,0.0022911170963197947,11.222160339355469
8,layers.layer_6.weight,0.4772787392139435,0.0015385736478492618,2.0597498416900635
10,layers.layer_0.weight,0.263882577419281,0.006146418396383524,2.024644136428833
10,layers.layer_1.weight,0.3499804437160492,0.0085133146494627,11.33790111541748
10,layers.layer_2.weight,0.37496545910835266,0.008518137969076633,11.321839332580566
10,layers.layer_3.weight,0.37866923213005066,0.010062200948596,11.19595718383789
10,layers.layer_4.weight,0.36446452140808105,0.009703445248305798,11.320658683776855
10,layers.layer_5.weight,0.35179680585861206,0.008037862367928028,11.22076416015625
10,layers.layer_6.weight,0.23037311434745789,0.005403435323387384,2.055901288986206
12,layers.layer_0.weight,0.3502283990383148,0.0029924833215773106,2.0223495960235596
12,layers.layer_1.weight,0.4582130014896393,0.004669620655477047,11.339886665344238
12,layers.layer_2.weight,0.4833175241947174,0.00454161548987031,11.322622299194336
12,layers.layer_3.weight,0.48496362566947937,0.005500514525920153,11.19597053527832
12,layers.layer_4.weight,0.4557751715183258,0.005726116243749857,11.31998062133789
12,layers.layer_5.weight,0.41184234619140625,0.005172427743673325,11.21966552734375
12,layers.layer_6.weight,0.2676030099391937,0.0035396688617765903,2.0525693893432617
14,layers.layer_0.weight,0.22926120460033417,0.005995714105665684,2.020688056945801
